# Mass_Msun	Radius_km	f_mode_Hz	Quadrupole_Moment_kgm^2	Surface_Redshift	Damping_time_s	Charateristic_Strain_hc		EoS
2.668270e-01	3.160000e+00	3.540560e+03	1.347240e+33	1.542669e-01	6.854019e-02	1.020615e-23		2
2.754468e-01	3.210000e+00	3.518134e+03	1.446470e+33	1.573916e-01	6.803438e-02	1.013105e-23		2
2.840933e-01	3.260000e+00	3.495549e+03	1.551628e+33	1.604636e-01	6.753701e-02	1.005703e-23		2
2.927615e-01	3.310000e+00	3.472832e+03	1.662897e+33	1.634816e-01	6.704823e-02	9.984112e-24		2
3.014411e-01	3.360000e+00	3.449983e+03	1.780709e+33	1.664404e-01	6.656857e-02	9.912309e-24		2
3.101284e-01	3.410000e+00	3.427019e+03	1.905326e+33	1.693394e-01	6.609828e-02	9.841599e-24		2
3.188150e-01	3.460000e+00	3.403960e+03	2.037118e+33	1.721749e-01	6.563750e-02	9.772029e-24		2
3.274948e-01	3.510000e+00	3.380800e+03	2.176517e+33	1.749448e-01	6.518681e-02	9.703550e-24		2
3.361632e-01	3.560000e+00	3.357566e+03	2.323777e+33	1.776482e-01	6.474618e-02	9.636196e-24		2
3.448108e-01	3.610000e+00	3.334261e+03	2.479452e+33	1.802806e-01	6.431598e-02	9.569974e-24		2
3.534350e-01	3.660000e+00	3.310896e+03	2.643836e+33	1.828424e-01	6.389642e-02	9.534197e-24		2
3.620271e-01	3.710000e+00	3.287491e+03	2.817449e+33	1.853300e-01	6.348746e-02	9.504862e-24		2
3.705828e-01	3.760000e+00	3.264040e+03	3.000779e+33	1.877427e-01	6.308961e-02	9.440908e-24		2
3.790974e-01	3.810000e+00	3.240566e+03	3.194210e+33	1.900794e-01	6.270272e-02	9.378065e-24		2
3.875632e-01	3.860000e+00	3.217070e+03	3.398435e+33	1.923371e-01	6.232708e-02	9.316364e-24		2
3.959789e-01	3.910000e+00	3.193564e+03	3.613751e+33	1.945173e-01	6.196275e-02	9.255819e-24		2
4.043348e-01	3.960000e+00	3.170065e+03	3.840903e+33	1.966158e-01	6.160965e-02	9.196400e-24		2
4.126293e-01	4.010000e+00	3.146566e+03	4.080398e+33	1.986337e-01	6.126815e-02	9.138150e-24		2
4.208569e-01	4.060000e+00	3.123091e+03	4.332827e+33	2.005696e-01	6.093798e-02	9.081044e-24		2
4.290123e-01	4.110000e+00	3.099634e+03	4.598971e+33	2.024224e-01	6.061943e-02	9.025090e-24		2
4.370945e-01	4.160000e+00	3.076211e+03	4.879235e+33	2.041935e-01	6.031240e-02	8.970333e-24		2
4.450944e-01	4.210000e+00	3.052831e+03	5.174585e+33	2.058796e-01	6.001680e-02	8.918636e-24		2
4.530128e-01	4.260000e+00	3.029493e+03	5.485506e+33	2.074831e-01	5.973284e-02	8.916712e-24		2
4.608422e-01	4.310000e+00	3.006216e+03	5.812897e+33	2.090018e-01	5.946016e-02	8.864268e-24		2
4.685811e-01	4.360000e+00	2.982992e+03	6.157534e+33	2.104367e-01	5.919911e-02	8.813021e-24		2
4.762264e-01	4.410000e+00	2.959838e+03	6.520109e+33	2.117883e-01	5.894937e-02	8.762933e-24		2
4.837727e-01	4.460000e+00	2.936755e+03	6.901752e+33	2.130555e-01	5.871097e-02	8.714046e-24		2
4.912216e-01	4.510000e+00	2.913749e+03	7.302907e+33	2.142412e-01	5.848388e-02	8.666361e-24		2
4.985635e-01	4.560000e+00	2.890832e+03	7.724887e+33	2.153422e-01	5.826777e-02	8.619860e-24		2
5.058008e-01	4.610000e+00	2.867997e+03	8.168372e+33	2.163618e-01	5.806293e-02	8.585280e-24		2
5.129277e-01	4.660000e+00	2.845262e+03	8.634489e+33	2.172990e-01	5.786892e-02	8.574583e-24		2
5.199432e-01	4.710000e+00	2.822620e+03	9.124291e+33	2.181551e-01	5.768588e-02	8.530526e-24		2
5.268456e-01	4.760000e+00	2.800082e+03	9.638653e+33	2.189315e-01	5.751356e-02	8.487677e-24		2
5.336300e-01	4.810000e+00	2.777653e+03	1.017905e+34	2.196274e-01	5.735181e-02	8.446077e-24		2
5.402993e-01	4.860000e+00	2.755331e+03	1.074607e+34	2.202466e-01	5.720066e-02	8.405729e-24		2
5.468445e-01	4.910000e+00	2.733131e+03	1.134142e+34	2.207862e-01	5.705965e-02	8.377962e-24		2
5.532696e-01	4.960000e+00	2.711041e+03	1.196591e+34	2.212505e-01	5.692909e-02	8.366617e-24		2
5.595682e-01	5.010000e+00	2.689076e+03	1.262110e+34	2.216380e-01	5.680849e-02	8.328782e-24		2
5.657413e-01	5.060000e+00	2.667232e+03	1.330818e+34	2.219513e-01	5.669792e-02	8.292251e-24		2
5.717864e-01	5.110000e+00	2.645515e+03	1.402845e+34	2.221913e-01	5.659712e-02	8.256991e-24		2
5.777011e-01	5.160000e+00	2.623929e+03	1.478355e+34	2.223585e-01	5.650590e-02	8.238232e-24		2
5.834863e-01	5.210000e+00	2.602471e+03	1.557451e+34	2.224555e-01	5.642428e-02	8.223045e-24		2
5.891363e-01	5.260000e+00	2.581153e+03	1.640341e+34	2.224813e-01	5.635177e-02	8.190461e-24		2
5.946550e-01	5.310000e+00	2.559963e+03	1.727095e+34	2.224399e-01	5.628868e-02	8.159217e-24		2
6.000331e-01	5.360000e+00	2.538915e+03	1.817962e+34	2.223285e-01	5.623447e-02	8.139177e-24		2
6.052763e-01	5.410000e+00	2.518000e+03	1.913020e+34	2.221520e-01	5.618926e-02	8.129339e-24		2
6.103761e-01	5.460000e+00	2.497226e+03	2.012528e+34	2.219080e-01	5.615273e-02	8.100880e-24		2
6.153382e-01	5.510000e+00	2.476593e+03	2.116571e+34	2.216013e-01	5.612479e-02	8.073897e-24		2
6.201540e-01	5.560000e+00	2.456099e+03	2.225415e+34	2.212295e-01	5.610532e-02	8.066682e-24		2
6.248281e-01	5.610000e+00	2.435750e+03	2.339153e+34	2.207968e-01	5.609403e-02	8.048360e-24		2
6.293518e-01	5.660000e+00	2.415538e+03	2.458072e+34	2.203009e-01	5.609103e-02	8.024332e-24		2
6.337300e-01	5.710000e+00	2.395475e+03	2.582251e+34	2.197459e-01	5.609584e-02	8.012623e-24		2
6.379521e-01	5.760000e+00	2.375545e+03	2.712007e+34	2.191287e-01	5.610881e-02	8.001883e-24		2
6.420232e-01	5.810000e+00	2.355761e+03	2.847413e+34	2.184537e-01	5.612936e-02	7.981096e-24		2
6.459318e-01	5.860000e+00	2.336111e+03	2.988772e+34	2.177173e-01	5.615778e-02	7.971994e-24		2
6.496794e-01	5.910000e+00	2.316607e+03	3.136243e+34	2.169222e-01	5.619354e-02	7.961978e-24		2
6.532597e-01	5.960000e+00	2.297235e+03	3.290010e+34	2.160673e-01	5.623692e-02	7.944614e-24		2
6.566649e-01	6.010000e+00	2.278006e+03	3.449945e+34	2.151511e-01	5.628745e-02	7.941539e-24		2
6.598615e-01	6.060000e+00	2.258907e+03	3.614120e+34	2.141612e-01	5.634543e-02	7.929113e-24		2
6.626724e-01	6.110000e+00	2.239946e+03	3.784490e+34	2.130233e-01	5.641040e-02	7.919051e-24		2
6.651499e-01	6.160000e+00	2.221109e+03	3.963599e+34	2.117647e-01	5.648275e-02	7.915606e-24		2
6.674653e-01	6.210000e+00	2.202404e+03	4.151228e+34	2.104619e-01	5.656201e-02	7.904241e-24		2
6.696470e-01	6.260000e+00	2.183816e+03	4.349956e+34	2.091281e-01	5.664864e-02	7.902976e-24		2
6.718558e-01	6.310000e+00	2.165349e+03	4.554901e+34	2.078310e-01	5.674235e-02	7.895112e-24		2
6.738258e-01	6.360000e+00	2.146993e+03	4.763430e+34	2.064609e-01	5.684330e-02	7.892194e-24		2
6.752774e-01	6.410000e+00	2.128739e+03	4.975730e+34	2.049078e-01	5.695172e-02	7.888425e-24		2
6.761046e-01	6.460000e+00	2.110544e+03	5.194176e+34	2.031359e-01	5.706916e-02	7.885869e-24		2
6.763844e-01	6.510000e+00	2.092170e+03	5.425450e+34	2.011834e-01	5.720449e-02	7.884433e-24		2
6.764657e-01	6.560000e+00	2.073701e+03	5.670358e+34	1.991929e-01	5.735463e-02	7.883449e-24		2
